,Player name,Appearances,Goals,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
24,Allan,"
      52
  ","
      0
  ","
      20
  ","
      23
  ","
      0
  ","
        52
  ","
      0
  ","
      0
  ","
      0
  ","
      0
  ","
      0
  ","
      14
  ","
      5
  ","
        36%
  ","
      0
  ","
      0
  ","
      2
  ","
      2,013
  ","
        38.71
  ","
      0
  ","
      14
  ","
        29%
  ","
      2
  ","
      97
  ","
      13
  ","
      1
  ","
      67
  ","
      0
  ","
      154
  ","
        58%
  ","
      4
  ","
      42
  ","
      59
  ","
      23
  ","
      378
  ","
      273
  ","
      299
  ","
      52
  ","
      16
  ","
      26
  ","
      1
  "
25,Charlie Allen,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
26,Dele Alli,194,51,103,53,51,0.26,9,32,10,3,0,337,134,40%,8,40,34,"6,211",32.02,48,92,14%,72,182,28,0,209,36,275,64%,87,146,124,71,864,937,"1,247",211,145,214,1
27,Miguel Almirón,125,17,44,46,17,0.14,0,3,14,0,0,177,60,34%,7,17,4,"2,860",22.88,9,138,21%,6,81,10,0,80,49,200,62%,64,86,53,18,575,513,494,133,28,71,1
28,Marcos Alonso,179,26,106,39,63,164,342,66%,0,90,265,440,226,1,"1,018",979,803,113,349,255,0,1,16,"7,959",44.46,26,600,19%,10,267,35,1,162,21,26,4,3,19,13,,
29,Julián Álvarez,12,3,10,2,3,0.25,0,2,1,0,0,11,6,55%,1,2,0,114,9.50,1,5,0,0,6,1,7,3,0,1,1,,,,,,,,,,,
30,Álvaro Fernández,12,1,3,7,49,0,4,8,4,4,60,83,1,24,1,1,0,0,0,0,0,456,38.00,80,,,,,,,,,,,,,,,,,
31,William Alves,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
32,Steven Alzate,43,1,10,18,1,0.02,0,1,0,0,0,21,6,29%,0,1,0,"1,272",29.58,1,11,36%,2,47,3,0,43,4,60,52%,10,32,28,19,160,157,162,49,20,37,0
33,Daniel Amartey,98,2,39,39,18,118,118,57%,3,4,90,223,129,1,514,294,276,17,130,123,0,0,1,"4,099",41.83,1,7,14%,2,163,12,1,62,2,2,2,0,0,0,,
34,Ethan Ampadu,26,0,5,20,2,42,58,64%,0,1,49,85,36,0,114,149,88,13,53,31,1,1,0,"1,025",39.42,2,19,32%,0,57,3,0,25,1,0,0,0,0,0,,
35,Joachim Andersen,78,2,20,27,23,88,79,59%,1,4,94,365,199,1,402,318,224,19,188,103,1,2,4,"5,156",66.10,3,24,13%,4,520,13,1,72,2,2,1,1,0,1,,
36,Joseph Anderson,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
37,Florin Andone,26,4,5,14,4,0.15,2,2,0,0,0,20,9,45%,0,3,0,177,6.81,0,5,5,1,30,4,11,6,3,13,6,,,,,,,,,,,
38,André Gomes,88,1,34,36,1,0.01,0,1,0,0,0,54,12,22%,0,2,4,"3,203",36.40,4,57,26%,6,250,19,0,146,2,112,58%,17,38,41,23,479,366,545,108,83,67,0
39,Andreas Pereira,60,4,26,19,4,0.07,0,2,2,1,0,64,24,38%,0,2,8,"1,487",24.78,12,180,29%,3,66,13,0,59,6,44,59%,20,24,15,4,199,138,285,38,18,61,1
40,Frank Anguissa,58,0,8,35,0,0.00,0,0,0,0,0,55,14,25%,1,0,3,"2,459",42.40,4,15,33%,2,74,7,1,67,2,126,52%,19,90,43,25,339,393,359,138,85,70,0
41,Faustino Anjorin,1,0,1,0,0,0.00,0,0,0,0,0,1,0,0%,0,0,0,7,7.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,2,2,1,0,0,0
42,Jaidon Anthony,10,2,3,4,2,0.20,1,1,0,0,0,6,5,83%,0,0,0,86,8.60,0,5,0,0,1,1,6,1,0,5,5,,,,,,,,,,,
43,Michail Antonio,209,58,80,80,58,0.28,21,28,10,1,0,458,174,38%,20,53,28,"3,834",18.34,32,419,24,2,240,94,153,111,136,147,75,,,,,,,,,,,
44,Antony,6,3,3,1,3,0.50,0,0,3,0,0,20,9,45%,1,0,0,208,34.67,0,11,1,0,2,0,8,5,3,1,0,,,,,,,,,,,
45,Paul Appiah,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
46,Keenan Appiah-Forson,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
47,Billy Arce,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
48,Cameron Archer,9,0,3,5,0,0.00,0,0,0,0,0,1,0,0%,0,0,0,15,1.67,0,1,0,0,5,1,0,1,0,0,0,,,,,,,,,,,
49,Alphonse Aréola,39,9,5,21,118,0,27,23,5,5,179,275,9,51,2,0,2,0,1,0,0,913,23.41,177,,,,,,,,,,,,,,,,,
50,Joe Aribo,15,2,3,9,2,0.13,0,1,1,0,0,12,8,67%,0,1,0,306,20.40,2,6,0%,0,4,1,0,7,0,28,68%,4,5,10,9,58,74,78,13,23,31,0
51,Stuart Armstrong,131,15,42,60,15,0.11,1,10,4,0,0,183,55,30%,2,7,10,"3,431",26.19,9,137,23%,9,92,12,0,97,13,160,66%,59,58,70,32,495,464,575,151,48,85,0
52,Kepa Arrizabalaga,86,29,45,24,186,1,25,38,12,33,397,568,29,101,3,0,3,0,0,0,0,"2,435",28.31,398,,,,,,,,,,,,,,,,,
53,Harry Arter,94,3,28,45,3,0.03,0,2,1,0,0,124,24,19%,5,2,5,"4,282",45.55,4,50,28%,16,326,32,1,91,2,221,73%,39,103,65,16,508,390,368,54,25,29,3
54,Arthur,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
55,Harrison Ashby,1,0,0,1,0,1,0,0%,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,6.00,0,0,0%,0,1,0,0,0,0,0,0,0,0,0,,
56,Ryan Astley,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
57,Pierre-Emerick Aubameyang,134,69,63,43,69,0.51,4,53,12,9,1,316,144,46%,12,52,16,"2,699",20.14,19,200,9,1,58,80,80,76,34,59,19,,,,,,,,,,,
58,Ludwig Augustinsson,2,0,1,0,0,0,1,100%,0,0,0,1,1,0,6,6,3,0,4,1,0,0,0,16,8.00,0,1,0%,0,1,1,0,1,0,0,0,0,0,0,,
59,Sèrge Aurier,84,5,42,21,18,84,240,65%,1,11,110,211,129,0,424,563,459,81,179,152,1,1,12,"3,317",39.49,17,281,17%,3,90,5,2,105,10,5,2,2,1,0,,
60,Brandon Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,,,,,,,,,,
61,Zach Awe,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
62,Taiwo Awoniyi,13,3,2,8,3,0.23,1,2,0,0,0,15,6,40%,2,6,0,92,7.08,1,1,0,0,6,7,5,0,1,7,4,,,,,,,,,,,
63,Jordan Ayew,215,29,58,105,29,0.13,5,19,5,2,0,289,97,34%,8,19,16,"4,533",21.08,17,267,25,2,324,49,338,102,110,89,55,,,,,,,,,,,
64,Luke Ayling,71,2,25,33,13,127,188,56%,0,14,66,130,68,1,474,434,328,67,106,121,0,0,3,"3,865",54.44,10,118,18%,9,286,11,1,53,5,2,0,2,0,1,,
65,Miguel Azeez,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
66,César Azpilicueta,335,10,188,69,115,325,842,70%,2,35,538,934,493,5,"1,646","1,683","1,199",93,592,461,3,1,35,"19,571",58.42,40,671,21%,29,721,33,2,308,17,10,2,8,0,3,,
67,Abdul Rahman Baba,15,0,6,6,2,13,47,83%,0,1,23,32,13,1,76,67,65,8,8,13,0,1,1,526,35.07,0,31,16%,0,18,1,0,14,2,0,0,0,0,0,,
68,Baba Fernandes,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
69,Finley Back,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
70,Loïc Badé,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
71,Leon Bailey,32,4,10,19,4,0.13,0,0,4,0,0,38,14,37%,3,1,4,376,11.75,6,81,7,0,27,9,23,12,3,5,4,,,,,,,,,,,
72,Eric Bailly,70,1,44,11,24,56,102,70%,1,4,118,272,115,0,364,277,157,27,105,61,2,1,0,"2,329",33.27,0,2,0%,1,123,10,1,57,0,1,0,1,0,1,,
73,Stefan Bajcetic,1,0,1,0,0,0,0,0%,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,15,15.00,0,0,0%,0,1,0,0,0,0,0,0,0,0,0,,
74,Tiemoué Bakayoko,29,2,18,6,2,0.07,1,0,1,0,0,40,9,23%,1,3,2,"1,108",38.21,1,5,20%,0,44,3,1,50,2,64,64%,17,37,36,22,169,164,155,36,40,36,2
75,Lewis Baker,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
76,James Balagizi,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
77,Ellery Balcombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,,,,,,,,,,
78,Dominic Ballard,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
79,Kofi Balmer,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
80,Folarin Balogun,2,0,0,2,0,0.00,0,0,0,0,0,3,0,0%,0,0,0,9,4.50,0,0,0,0,0,1,1,0,0,1,1,,,,,,,,,,,
