,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
51,65.0,0.3,1.63,0.74,0.0,85.0,0.3,0.18,17.52,0.74,40.0,1.93,2.67,0.0,0.3,0.0,69.0,69.65,94.0,2.01,0.0,0.59,0.0,0.0,0.0,0.1,0.0,0.0
52,67.0,1.51,2.27,0.84,0.17,60.0,0.0,0.2,20.69,2.19,50.0,2.61,7.32,0.25,0.17,0.0,81.0,81.59,90.0,1.74,0.08,0.5,17.0,0.0,31.0,0.1,0.0,0.07
53,47.0,1.98,0.94,0.85,0.28,32.0,0.38,0.43,17.06,2.64,60.0,0.75,1.41,0.09,0.0,0.0,50.0,30.72,80.0,3.06,0.57,1.79,37.0,1.32,27.0,0.43,0.0,0.12
54,61.0,1.01,2.13,1.11,0.51,68.0,0.2,0.29,22.47,2.23,70.0,4.05,4.66,0.0,0.3,0.0,70.0,65.91,82.0,2.68,0.2,0.51,40.0,0.0,21.0,0.23,0.0,0.09
55,50.0,0.78,0.19,1.07,0.29,20.0,0.48,0.64,30.36,3.3,65.0,2.91,1.36,0.0,0.0,0.0,47.0,50.82,80.0,2.99,0.39,1.16,33.0,1.16,39.0,0.22,0.1,0.17
56,68.0,2.52,4.28,0.44,0.06,63.0,0.0,0.05,7.48,0.13,75.0,2.39,8.24,0.25,0.63,0.0,68.0,70.25,91.0,1.57,0.19,0.5,38.0,0.0,45.0,0.17,0.13,0.07
57,61.0,0.8,1.67,2.01,0.27,68.0,0.0,0.12,16.32,0.53,53.0,3.41,3.41,0.07,0.2,0.0,65.0,50.55,89.0,1.15,0.07,0.33,20.0,0.0,36.0,0.04,0.0,0.11
58,52.0,1.45,2.04,2.33,0.29,58.0,0.29,0.15,15.27,1.31,59.0,4.65,2.76,0.0,0.44,0.0,50.0,42.16,81.0,1.7,0.0,0.73,0.0,0.87,38.0,0.17,0.0,0.0
59,68.0,2.24,4.24,0.5,0.12,65.0,0.0,0.01,5.61,0.0,75.0,1.75,6.11,0.12,0.75,0.0,79.0,67.06,93.0,2.22,0.0,0.5,0.0,0.0,0.0,0.13,0.0,0.0
60,76.0,1.17,3.46,0.39,0.07,75.0,0.0,0.03,9.53,0.0,100.0,1.44,6.2,0.46,0.46,0.0,77.0,71.66,92.0,1.37,0.07,0.39,17.0,0.0,25.0,0.08,0.07,0.05
61,59.0,0.9,1.09,0.84,0.06,55.0,0.13,0.35,21.36,2.7,55.0,3.09,3.86,0.06,0.13,0.0,60.0,67.29,88.0,1.75,0.0,0.32,0.0,0.0,50.0,0.06,0.0,0.0
62,68.0,1.78,2.67,0.96,0.22,60.0,0.0,0.0,2.82,0.0,50.0,1.11,7.12,0.15,0.82,0.0,80.0,57.8,92.0,1.72,0.07,0.3,25.0,0.0,25.0,0.15,0.07,0.04
63,76.0,0.61,2.66,0.3,0.08,81.0,0.15,0.04,8.13,0.0,75.0,2.05,6.23,0.3,1.06,0.0,81.0,66.46,92.0,1.59,0.0,0.08,0.0,0.0,0.0,0.03,0.0,0.0
64,76.0,0.97,3.09,0.32,0.49,76.0,0.0,0.05,10.72,0.16,50.0,1.79,1.95,0.0,0.0,0.0,91.0,55.72,89.0,2.32,0.0,0.32,0.0,0.0,0.0,0.11,0.0,0.0
65,30.0,2.08,1.11,1.41,0.07,35.0,0.3,0.2,12.75,0.74,51.0,1.48,0.82,0.0,0.0,0.0,40.0,22.39,78.0,2.11,0.96,2.59,37.0,2.0,61.0,0.85,0.0,0.08
66,49.0,3.15,4.22,0.93,0.0,57.0,0.21,0.22,18.82,1.14,57.0,2.58,2.22,0.0,0.14,0.0,44.0,38.35,80.0,1.38,0.57,2.0,29.0,1.57,55.0,0.37,0.29,0.11
67,51.0,0.68,0.68,1.13,0.11,50.0,0.45,0.44,20.73,1.58,51.0,4.39,3.15,0.0,0.11,0.0,64.0,47.65,87.0,2.7,0.11,0.9,13.0,0.0,80.0,0.05,0.0,0.24
68,49.0,0.65,0.83,1.2,0.28,56.0,0.18,0.28,28.21,0.83,66.0,2.5,1.85,0.09,0.28,0.0,41.0,73.17,91.0,2.4,0.28,0.55,50.0,0.0,22.0,0.25,0.0,0.1
69,31.0,2.59,0.94,0.94,0.0,27.0,0.0,0.16,13.19,1.49,42.0,1.57,1.41,0.0,0.0,0.0,40.0,24.27,78.0,2.05,0.47,1.1,43.0,1.26,52.0,0.19,0.0,0.19
70,58.0,1.47,1.21,0.87,0.09,45.0,0.0,0.1,17.13,0.17,81.0,3.89,3.72,0.0,0.09,0.0,62.0,60.92,89.0,1.39,0.17,0.26,67.0,0.0,22.0,0.08,0.0,0.18
71,52.0,0.84,0.67,1.51,0.08,44.0,0.17,0.13,18.79,0.25,61.0,4.61,3.19,0.0,0.25,0.0,55.0,52.67,84.0,1.7,0.25,0.34,75.0,0.0,40.0,0.08,0.08,0.25
72,56.0,0.66,0.66,1.12,0.26,50.0,0.0,0.14,14.74,0.46,66.0,4.34,5.0,0.26,0.07,0.0,55.0,52.76,90.0,1.33,0.33,0.46,71.0,0.72,44.0,0.21,0.0,0.11
73,73.0,0.84,2.03,0.77,0.21,71.0,0.0,0.01,8.04,0.07,91.0,2.66,6.15,0.49,0.91,0.0,74.0,53.71,87.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,67.0,2.14,3.12,0.58,0.39,59.0,0.0,0.05,11.3,0.0,75.0,2.53,4.68,0.39,0.58,0.0,77.0,67.21,89.0,1.84,0.19,0.58,33.0,0.0,33.0,0.11,0.19,0.33
75,69.0,1.1,2.65,0.39,0.06,71.0,0.0,0.12,7.23,0.58,75.0,1.48,4.91,0.45,0.45,0.0,65.0,63.01,90.0,1.8,0.13,0.32,40.0,0.0,57.0,0.07,0.13,0.11
76,58.0,2.19,1.42,1.16,0.13,39.0,0.0,0.08,16.74,0.26,82.0,3.73,4.25,0.26,0.13,0.0,62.0,70.3,89.0,1.47,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
77,72.0,1.71,4.17,0.62,0.14,71.0,0.0,0.02,7.45,0.14,64.0,2.12,7.11,0.27,1.09,0.0,84.0,68.94,92.0,1.54,0.14,0.21,67.0,0.0,67.0,0.06,0.14,0.17
78,76.0,0.77,2.41,1.2,0.33,76.0,0.0,0.01,11.93,0.44,100.0,2.74,5.47,0.44,0.22,0.0,64.0,66.46,88.0,1.6,0.11,0.11,100.0,0.0,60.0,0.07,0.0,0.17
79,50.0,0.39,1.02,0.16,0.0,72.0,0.16,0.51,25.49,2.05,70.0,1.26,2.44,0.08,0.0,0.0,31.0,51.53,79.0,2.59,0.71,1.18,60.0,1.42,51.0,0.53,0.0,0.11
80,45.0,0.71,0.24,0.95,0.0,25.0,0.6,0.64,33.33,2.14,59.0,2.86,1.79,0.12,0.12,0.0,67.0,67.02,88.0,2.11,0.36,1.43,25.0,1.07,82.0,0.28,0.0,0.15
