,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
0,46.0,0.32,0.49,0.16,0.32,60.0,0.16,0.22,17.55,5.69,54.0,1.46,2.27,0.16,0.16,0.0,44.0,39.64,73.0,3.19,0.0,0.32,0.0,0.0,50.0,0.03,0.0,0.0
1,48.0,2.33,2.01,1.7,0.11,46.0,0.0,0.04,15.48,2.23,63.0,4.56,3.5,0.32,0.42,0.0,51.0,48.76,78.0,1.93,0.0,0.21,0.0,0.0,40.0,0.03,0.0,0.0
2,38.0,2.43,0.12,1.7,0.61,5.0,0.24,0.13,10.92,0.61,62.0,3.03,3.15,0.0,0.36,0.0,52.0,28.02,81.0,2.95,0.0,0.0,0.0,0.0,33.0,0.02,0.0,0.0
3,31.0,3.54,0.79,0.59,0.2,18.0,0.0,0.27,14.15,0.59,0.0,1.57,1.57,0.0,0.0,0.0,63.0,27.12,77.0,2.85,0.79,1.57,50.0,1.77,82.0,0.41,0.2,0.38
4,54.0,0.89,0.81,0.81,0.22,48.0,0.0,0.07,10.85,0.89,58.0,2.81,4.28,0.15,0.3,0.0,68.0,34.26,84.0,1.97,0.0,0.07,0.0,0.0,0.0,0.01,0.0,0.0
5,40.0,1.54,0.95,1.42,0.0,38.0,0.12,0.17,14.33,0.47,59.0,4.62,3.32,0.12,0.12,0.0,38.0,35.17,80.0,2.79,0.12,0.83,14.0,0.71,46.0,0.31,0.0,0.05
6,53.0,1.2,2.11,0.9,0.0,64.0,0.15,0.04,13.7,0.3,38.0,5.12,4.21,0.15,0.15,0.0,53.0,44.25,82.0,1.89,0.0,0.15,0.0,0.0,20.0,0.08,0.0,0.0
7,39.0,1.33,0.85,0.85,0.24,39.0,0.0,0.32,17.9,1.81,61.0,3.27,3.15,0.24,0.0,0.0,48.0,38.23,83.0,3.05,0.12,0.48,25.0,0.0,18.0,0.11,0.0,0.13
8,47.0,2.51,2.01,0.7,0.1,44.0,0.1,0.22,11.25,1.21,47.0,3.21,4.32,0.1,0.1,0.0,63.0,25.21,78.0,1.73,0.1,0.9,33.0,0.0,36.0,0.13,0.0,0.08
9,0.0,0.0,0.13,0.0,0.2,100.0,0.0,0.0,2.42,0.0,0.0,0.07,2.16,0.33,0.0,0.0,0.0,26.97,89.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,42.0,1.14,0.38,1.32,0.19,25.0,0.09,0.12,9.94,2.37,55.0,3.41,2.08,0.0,0.19,0.0,50.0,19.87,71.0,3.39,0.09,0.66,14.0,0.57,40.0,0.09,0.0,0.1
11,38.0,2.04,0.6,1.2,0.12,23.0,0.12,0.11,13.58,1.56,65.0,2.28,1.2,0.0,0.0,0.0,47.0,23.91,72.0,2.51,0.12,1.2,10.0,0.72,38.0,0.12,0.0,0.12
12,61.0,0.7,0.85,1.86,0.39,55.0,0.0,0.02,9.98,0.08,73.0,3.48,4.41,0.31,0.46,0.0,64.0,38.62,88.0,1.65,0.0,0.15,0.0,0.0,0.0,0.06,0.0,0.0
13,49.0,2.96,3.39,0.99,0.11,53.0,0.0,0.16,9.42,0.66,67.0,3.39,5.36,0.44,0.11,0.0,52.0,40.07,84.0,1.06,0.0,0.11,0.0,0.0,25.0,0.04,0.0,0.0
14,48.0,1.76,0.82,2.23,0.12,32.0,0.0,0.04,6.92,0.35,0.0,4.46,4.93,0.0,0.35,0.0,55.0,39.78,91.0,1.94,0.0,0.0,0.0,0.0,50.0,0.02,0.0,0.0
15,67.0,1.68,2.98,1.21,0.09,64.0,0.0,0.04,3.82,0.0,0.0,2.14,5.96,0.56,0.37,0.0,65.0,34.1,86.0,0.92,0.0,0.09,0.0,0.0,0.0,0.06,0.0,0.0
16,37.0,1.47,0.57,2.04,0.49,28.0,0.16,0.14,12.72,1.06,48.0,3.51,1.88,0.08,0.0,0.0,35.0,35.62,81.0,1.31,0.16,0.33,50.0,0.0,42.0,0.06,0.0,0.22
17,66.0,1.16,0.66,1.33,0.33,36.0,0.0,0.09,17.4,1.82,81.0,3.98,3.65,0.5,0.66,0.0,75.0,56.52,84.0,2.01,0.0,0.17,0.0,0.0,0.0,0.04,0.0,0.0
18,53.0,1.84,1.84,2.21,0.37,50.0,0.0,0.02,8.48,0.0,71.0,4.18,5.04,0.25,0.98,0.0,53.0,43.28,88.0,2.17,0.12,0.49,25.0,0.0,38.0,0.18,0.0,0.08
19,64.0,1.32,0.99,1.15,0.0,43.0,0.0,0.02,7.73,0.82,71.0,3.78,3.95,0.16,0.33,0.0,78.0,31.26,86.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,46.0,2.67,1.51,1.74,0.23,36.0,0.0,0.16,15.81,0.81,67.0,6.16,3.95,0.23,0.0,0.0,53.0,41.98,86.0,1.98,0.12,0.23,50.0,0.0,20.0,0.2,0.0,0.07
21,56.0,1.1,1.42,1.73,0.16,56.0,0.0,0.03,10.54,0.0,50.0,3.93,6.29,0.47,0.47,0.0,60.0,51.61,92.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,39.0,3.77,1.01,1.59,0.17,21.0,0.17,0.21,10.23,1.17,61.0,0.84,1.85,0.0,0.08,0.0,50.0,13.92,64.0,2.81,0.17,1.26,13.0,1.09,48.0,0.25,0.08,0.06
23,49.0,1.36,1.22,1.09,0.14,47.0,0.0,0.31,17.24,0.27,69.0,3.39,5.57,0.27,0.0,0.0,48.0,39.5,75.0,1.78,0.0,0.27,0.0,0.0,40.0,0.07,0.0,0.0
24,54.0,1.02,0.73,1.02,0.0,42.0,0.0,0.01,9.17,0.58,62.0,3.93,6.26,0.0,0.15,0.0,59.0,38.59,88.0,1.9,0.0,0.44,0.0,0.0,40.0,0.07,0.0,0.0
25,67.0,1.71,2.31,1.0,0.3,57.0,0.0,0.07,5.83,0.5,75.0,2.31,7.03,0.8,0.7,0.0,52.0,46.91,88.0,1.95,0.0,0.2,0.0,0.0,0.0,0.02,0.0,0.0
