,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
0,43.0,1.42,0.59,1.42,0.47,29.0,0.0,0.13,12.82,0.47,75.0,3.68,3.92,0.36,0.59,0.0,52.0,62.1,92.0,2.87,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
1,57.0,1.04,1.68,1.55,0.13,62.0,0.0,0.16,13.73,0.26,50.0,3.5,5.31,0.13,0.52,0.0,56.0,47.01,80.0,1.44,0.0,0.13,0.0,0.0,0.0,0.06,0.0,0.0
2,37.0,1.71,0.54,1.44,0.09,24.0,0.0,0.2,9.44,1.35,44.0,1.35,0.99,0.0,0.0,0.0,40.0,16.9,74.0,2.86,0.63,2.16,29.0,1.71,53.0,0.64,0.18,0.09
3,46.0,1.01,0.2,0.3,0.0,17.0,0.2,0.15,16.89,1.72,57.0,2.53,2.33,0.2,0.2,0.0,60.0,40.15,82.0,2.13,0.2,0.91,22.0,1.11,58.0,0.31,0.0,0.07
4,51.0,1.5,1.17,0.67,0.0,44.0,0.0,0.03,9.0,0.67,70.0,2.5,4.0,0.17,0.83,0.0,47.0,40.5,82.0,1.55,0.0,0.17,0.0,0.0,0.0,0.06,0.0,0.0
5,71.0,0.78,2.01,1.12,0.22,72.0,0.0,0.0,2.01,0.0,0.0,1.56,5.91,0.22,0.89,0.0,86.0,37.47,88.0,1.78,0.11,0.45,25.0,0.0,25.0,0.13,0.0,0.09
6,70.0,0.75,2.45,0.94,0.13,76.0,0.06,0.05,5.16,0.06,0.0,1.95,5.91,0.57,0.82,0.0,65.0,37.23,89.0,1.44,0.06,0.44,14.0,0.0,33.0,0.09,0.0,0.04
7,61.0,2.12,2.65,0.93,0.13,56.0,0.0,0.12,8.6,0.0,67.0,2.25,5.43,0.66,0.4,0.0,47.0,55.06,82.0,1.57,0.0,0.0,0.0,0.0,50.0,0.01,0.0,0.0
8,46.0,2.28,0.62,1.24,0.52,21.0,0.21,0.18,18.12,0.72,81.0,2.69,2.07,0.1,0.0,0.0,58.0,42.46,87.0,2.97,0.0,0.52,0.0,0.0,40.0,0.05,0.0,0.0
9,0.0,0.0,0.37,0.0,0.06,100.0,0.0,0.0,2.39,0.0,0.0,0.06,2.45,0.06,0.0,0.0,100.0,22.7,85.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,33.0,1.71,0.7,1.41,0.0,29.0,0.2,0.31,19.63,1.71,36.0,2.62,1.01,0.0,0.0,0.0,50.0,29.5,76.0,2.36,0.2,1.01,20.0,1.11,52.0,0.21,0.0,0.09
11,0.0,0.06,0.24,0.0,0.0,80.0,0.0,0.0,2.43,0.0,0.0,0.0,3.1,0.18,0.0,0.0,0.0,27.22,87.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,57.0,1.09,1.02,0.95,0.2,48.0,0.2,0.17,17.89,4.08,30.0,2.31,3.54,0.2,0.14,0.07,74.0,38.37,71.0,1.27,0.0,0.07,0.0,0.0,22.0,0.04,0.0,0.0
13,73.0,0.43,1.63,0.92,0.35,79.0,0.0,0.0,5.24,0.07,100.0,1.84,6.8,0.14,0.57,0.0,69.0,35.43,85.0,1.42,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
14,54.0,1.46,0.78,0.88,0.1,35.0,0.0,0.05,9.25,0.19,72.0,2.63,7.31,0.29,1.07,0.0,70.0,38.67,87.0,1.15,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
15,76.0,0.59,1.18,0.51,0.17,67.0,0.0,0.0,6.59,0.08,90.0,2.7,6.93,0.42,0.68,0.0,81.0,41.83,85.0,1.86,0.0,0.08,0.0,0.0,20.0,0.03,0.0,0.0
16,0.0,0.12,0.73,0.0,0.24,86.0,0.0,0.0,2.43,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,23.77,81.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,50.0,1.8,1.65,0.53,0.23,48.0,0.08,0.17,16.74,1.88,44.0,2.7,5.03,0.15,0.15,0.0,56.0,37.83,71.0,1.21,0.0,0.15,0.0,0.0,0.0,0.04,0.0,0.0
18,65.0,1.04,2.23,1.63,0.3,68.0,0.0,0.04,6.53,0.0,75.0,4.6,2.82,0.15,0.0,0.0,65.0,30.89,88.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,39.0,0.84,0.19,0.84,0.28,18.0,0.19,0.18,16.64,3.16,46.0,1.95,3.07,0.09,0.09,0.0,57.0,45.28,82.0,2.45,0.0,0.37,25.0,0.0,13.0,0.06,0.0,0.0
20,51.0,1.31,0.76,1.31,0.0,37.0,0.22,0.33,15.58,1.53,69.0,2.94,3.49,0.44,0.0,0.0,78.0,34.65,78.0,1.93,0.22,0.33,67.0,0.0,44.0,0.05,0.0,0.47
21,49.0,1.14,0.71,1.0,0.0,38.0,0.0,0.22,19.83,0.57,80.0,3.57,4.85,0.0,0.14,0.0,44.0,63.04,86.0,2.92,0.14,0.57,25.0,0.0,43.0,0.21,0.0,0.1
22,68.0,1.25,2.57,0.88,0.29,67.0,0.07,0.01,6.6,0.22,91.0,1.61,4.99,0.37,0.59,0.0,59.0,36.75,85.0,1.51,0.0,0.07,0.0,0.0,25.0,0.03,0.0,0.0
23,37.0,1.6,0.53,1.47,0.13,25.0,0.13,0.28,15.07,0.53,54.0,5.47,3.6,0.13,0.0,0.0,34.0,36.67,74.0,2.53,0.0,0.8,0.0,0.0,29.0,0.16,0.0,0.0
24,62.0,1.42,2.59,1.42,0.08,65.0,0.0,0.07,8.03,0.33,63.0,2.34,4.35,0.25,0.84,0.0,57.0,51.36,86.0,1.54,0.0,0.17,0.0,0.0,40.0,0.07,0.0,0.0
25,0.0,0.0,0.14,0.0,0.0,100.0,0.0,0.0,2.23,0.0,0.0,0.0,2.08,0.14,0.0,0.0,0.0,26.88,87.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,55.0,1.29,1.38,0.37,0.0,52.0,0.0,0.2,15.52,1.65,67.0,1.93,4.87,0.37,0.37,0.0,48.0,44.17,78.0,1.52,0.09,1.47,13.0,0.64,44.0,0.24,0.09,0.04
27,58.0,0.19,1.52,1.14,0.19,89.0,0.0,0.03,15.57,1.71,47.0,2.85,3.99,0.0,0.38,0.0,47.0,46.14,83.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,46.0,1.17,0.39,0.78,0.08,25.0,0.0,0.18,18.33,0.7,66.0,2.58,2.74,0.0,0.0,0.0,45.0,47.15,87.0,2.62,0.0,0.23,0.0,0.55,33.0,0.17,0.0,0.0
29,40.0,1.26,0.47,1.73,0.47,27.0,0.32,0.28,11.03,1.73,60.0,4.89,3.47,0.32,0.0,0.0,35.0,24.12,69.0,3.13,0.47,1.58,30.0,1.1,39.0,0.33,0.0,0.23
30,49.0,1.26,1.0,1.0,0.17,44.0,0.0,0.21,20.51,1.09,42.0,2.6,2.68,0.08,0.08,0.0,39.0,50.99,83.0,1.41,0.17,0.67,25.0,0.92,48.0,0.17,0.0,0.08
31,40.0,2.38,1.53,1.61,0.17,39.0,0.08,0.19,12.15,1.78,48.0,4.08,4.08,0.25,0.08,0.0,44.0,25.33,72.0,1.95,0.0,0.51,0.0,0.51,30.0,0.2,0.0,0.0
32,52.0,0.83,1.11,1.8,0.14,57.0,0.0,0.21,16.73,0.97,63.0,4.56,3.59,0.0,0.0,0.0,45.0,40.51,80.0,2.88,0.0,0.28,0.0,0.0,14.0,0.1,0.0,0.0
33,46.0,0.82,0.98,0.65,0.0,55.0,0.16,0.08,14.4,3.6,57.0,2.13,3.27,0.65,0.16,0.0,46.0,25.85,68.0,2.86,0.33,0.65,50.0,0.0,63.0,0.12,0.0,0.45
