,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
164,0.61,39.14,85.0,44.0,59.0,44.0,1.37,0.15,0.76,0.15,10.0,0.15,0.21,14.31,0.76,65.0,3.35,3.2,0.0,0.0,0.0,59.0,39.14,85.0,4.01,0.46,0.91,50.0
165,0.0,0.14,0.14,0.0,0.0,50.0,0.0,0.0,3.83,0.0,0.0,0.21,3.83,0.14,0.0,0.0,67.0,29.1,89.0,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,1.71,58.57,76.0,53.0,68.0,53.0,1.05,1.05,0.57,0.38,50.0,0.48,0.61,26.48,6.29,64.0,2.1,3.43,0.57,0.19,0.0,68.0,58.57,76.0,1.66,0.0,0.19,0.0
167,4.1,3.03,56.0,77.0,0.0,56.0,0.49,1.64,1.39,0.16,77.0,0.08,0.33,21.07,3.93,48.0,4.1,3.03,0.25,0.33,0.0,50.0,53.44,78.0,1.55,0.0,0.08,0.0
168,1.46,7.56,70.0,76.0,0.0,70.0,1.04,3.26,0.56,0.28,76.0,0.0,0.07,4.93,0.21,75.0,1.46,7.56,0.49,0.35,0.0,71.0,53.99,92.0,1.72,0.07,0.28,25.0
169,0.51,47.96,78.0,46.0,22.0,46.0,1.03,1.93,0.9,0.26,65.0,0.26,0.27,20.19,3.47,63.0,2.31,4.24,0.0,0.13,0.0,22.0,47.96,78.0,1.96,0.0,0.51,0.0
170,0.25,35.38,86.0,60.0,61.0,60.0,0.75,0.88,1.0,0.5,54.0,0.0,0.06,11.38,1.38,64.0,4.5,4.38,0.25,0.5,0.0,61.0,35.38,86.0,1.8,0.0,0.12,100.0
171,0.0,0.06,0.19,0.0,0.06,75.0,0.0,0.0,2.61,0.0,0.0,0.06,2.37,0.06,0.0,0.0,0.0,30.06,83.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.25,36.89,87.0,57.0,47.0,57.0,1.51,1.92,0.84,0.08,56.0,0.08,0.18,9.45,0.84,90.0,4.1,3.76,0.08,0.42,0.08,47.0,36.89,87.0,1.38,0.08,0.33,25.0
173,65.0,2.1,1.62,0.16,0.0,43.0,0.0,0.0,2.59,0.0,0.0,1.13,5.33,0.32,1.29,0.0,71.0,36.03,86.0,0.86,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
174,0.56,30.37,80.0,32.0,43.0,32.0,4.0,1.26,0.84,0.07,24.0,0.14,0.21,15.57,1.19,49.0,2.46,1.89,0.0,0.0,0.0,43.0,30.37,80.0,1.99,0.28,1.05,27.0
175,0.55,29.18,77.0,57.0,73.0,57.0,1.16,2.26,0.61,0.0,66.0,0.06,0.1,12.18,2.14,52.0,2.02,3.73,0.12,0.31,0.18,73.0,29.18,77.0,1.16,0.0,0.06,0.0
176,0.13,48.07,89.0,53.0,51.0,53.0,1.13,1.5,2.0,0.25,57.0,0.0,0.01,9.51,0.0,0.0,6.88,5.13,0.13,0.75,0.0,51.0,48.07,89.0,1.57,0.0,0.0,0.0
177,3.91,3.64,59.0,47.0,0.0,59.0,1.35,1.21,1.08,0.13,47.0,0.13,0.39,19.43,4.05,59.0,3.91,3.64,0.13,0.0,0.0,76.0,55.46,82.0,3.25,0.13,0.4,33.0
178,3.45,4.14,48.0,50.0,0.0,48.0,1.38,1.38,0.99,0.1,50.0,0.2,0.23,16.56,3.84,41.0,3.45,4.14,0.3,0.3,0.0,63.0,38.54,74.0,2.05,0.2,0.59,33.0
179,1.46,5.56,71.0,63.0,0.0,71.0,1.32,2.29,1.04,0.35,63.0,0.0,0.05,2.99,0.0,33.0,1.46,5.56,0.07,0.63,0.0,71.0,32.73,91.0,1.77,0.07,0.07,100.0
180,1.19,5.18,60.0,55.0,0.0,60.0,1.62,2.0,0.81,0.19,55.0,0.0,0.05,8.36,0.0,75.0,1.19,5.18,0.25,0.44,0.0,74.0,65.49,92.0,1.56,0.06,0.37,17.0
